date,n_train,n_articles,price_d0,price_d3,d3_date,actual_d3,actual_return,confidence,skip_reason,prob_mean,prob_std,pred_50,pred_60,pred_65,pred_70
2025-01-14,3378,125,1090.0,1120.0,2025-01-17,1,0.027522935779816515,0.6985,,0.7036,0.0769,1,1.0,1.0,
2025-01-15,3399,135,1065.0,1120.0,2025-01-20,1,0.051643192488262914,0.5861,,0.6019,0.1077,1,,,
2025-01-16,3235,226,1105.0,1120.0,2025-01-21,2,0.013574660633484163,0.0,,0.0,0.0,0,0.0,0.0,0.0
2025-01-21,3043,142,1120.0,1095.0,2025-02-04,0,-0.022321428571428572,0.0,,0.0,0.0,0,0.0,0.0,0.0
2025-01-22,3185,151,1135.0,1110.0,2025-02-05,0,-0.022026431718061675,0.0,,0.0,0.0,0,0.0,0.0,0.0
2025-02-03,2777,254,1070.0,1115.0,2025-02-06,1,0.04205607476635514,0.0097,,0.0097,0.0,0,0.0,0.0,0.0
2025-02-04,2933,160,1095.0,1125.0,2025-02-07,1,0.0273972602739726,1.0,,1.0,0.0,1,1.0,1.0,1.0
2025-02-06,3093,94,1115.0,1110.0,2025-02-11,2,-0.004484304932735426,0.9992,,0.9992,0.0,1,1.0,1.0,1.0
2025-02-07,3093,91,1125.0,1100.0,2025-02-12,0,-0.022222222222222223,0.9985,,0.9985,0.0,1,1.0,1.0,1.0
2025-02-11,3017,104,1110.0,1060.0,2025-02-14,0,-0.04504504504504504,1.0,,1.0,0.0,1,1.0,1.0,1.0
2025-02-12,3121,163,1100.0,1085.0,2025-02-17,2,-0.013636363636363636,0.946,,0.946,0.0265,1,1.0,1.0,1.0
2025-02-13,3121,224,1090.0,1100.0,2025-02-18,2,0.009174311926605505,0.9931,,0.9939,0.0029,1,1.0,1.0,1.0
2025-02-14,3121,323,1060.0,1090.0,2025-02-19,1,0.02830188679245283,1.0,,1.0,0.0,1,1.0,1.0,1.0
2025-02-17,3444,273,1085.0,1080.0,2025-02-20,2,-0.004608294930875576,0.9998,,0.9997,0.0003,1,1.0,1.0,1.0
2025-02-18,3444,157,1100.0,1095.0,2025-02-21,2,-0.004545454545454545,0.9476,,0.9499,0.023,1,1.0,1.0,1.0
2025-02-19,3444,136,1090.0,1075.0,2025-02-24,2,-0.013761467889908258,0.8723,,0.8835,0.0741,1,1.0,1.0,1.0
2025-02-20,3444,139,1080.0,1055.0,2025-02-25,0,-0.023148148148148147,0.9427,,0.9306,0.0642,1,1.0,1.0,1.0
2025-02-21,3463,120,1095.0,1060.0,2025-02-26,0,-0.0319634703196347,0.1799,,0.1856,0.0383,0,0.0,0.0,0.0
2025-02-24,3501,114,1075.0,1040.0,2025-02-27,0,-0.03255813953488372,0.2808,,0.2884,0.0905,0,0.0,0.0,0.0
