N-gram,TF,DF
生態,311.0,203.0
導入,311.0,234.0
加劇,310.0,278.0
相關供應,310.0,272.0
台積電聯發科,310.0,283.0
大舉,309.0,262.0
名列,309.0,297.0
鎖定,308.0,242.0
支援,305.0,215.0
日經,302.0,213.0
證券交易,302.0,256.0
上海,299.0,242.0
亞利桑那州,299.0,149.0
建立,298.0,236.0
電價,297.0,113.0
半導體業,297.0,238.0
本土,296.0,252.0
控制,295.0,222.0
現金股利,293.0,157.0
相關供應鏈,292.0,255.0
世達,291.0,246.0
櫃公司,291.0,185.0
遊戲,290.0,162.0
表現相對,287.0,255.0
分享台,284.0,283.0
類別,284.0,274.0
法案,283.0,160.0
連賣,282.0,185.0
榜首,282.0,250.0
德州,281.0,198.0
多單,281.0,137.0
東京,281.0,115.0
分批,281.0,253.0
美股主要,280.0,243.0
零售,279.0,213.0
邏輯,277.0,230.0
鉅額交易,277.0,142.0
油價,277.0,197.0
大客戶,277.0,196.0
物價指數,276.0,232.
決議,274.0,197.0
航太,272.0,180.0
印度,272.0,137.0
晶圓代工廠,271.0,212.0
過程,271.0,234.0
點名,271.0,208.0
邊緣,271.0,172.0
輝達執行長,269.0,239.0
資券,269.0,254.0
摩根士丹利,268.0,177.0
聯盟,268.0,146.0
疲軟,267.0,222.0
情勢,266.0,214.0
智能,266.0,187.0
貨櫃三雄,266.0,208.0
南韓,264.0,127.0
壓抑,263.0,231.0
聯合,263.0,214.0
智財,263.0,195.0
矽智,263.0,194.0
開低走低,262.0,223.0
配發,261.0,175.0
表示,259.0,240.0
持股比,254.0,146.0
裝置,252.0,192.0
正常,252.0,213.0
低接,252.0,213.0
國票投顧,252.0,151.0
購買,252.0,184.0
翻倍,251.0,185.0
半導體供應,251.0,185.0
上市櫃公司,250.0,172.0
承接,250.0,213.0
普通,250.0,182.0
談判,249.0,164.0
領導,248.0,197.0
中華電信,248.0,184.0
日加權指數,247.0,244.0
開低走高,246.0,202.0
補貼,246.0,156.0
空頭,246.0,177.0
外資買賣,246.0,170.0
硬體,245.0,169.0
鏡頭,245.0,129.0
李慧蘭,243.0,242.0
投信自營商,243.0,241.0
壽險,242.0,142.0
提款,240.0,188.0
證券交易所,240.0,220.0
薪資,239.0,118.0
據點,238.0,99.0
外匯,238.0,101.0
合作夥伴,238.0,189.0
電子類,238.0,196.0
高盛,238.0,131.0
越南,238.0,171.0
颱風,237.0,143.0
調降,236.0,187.0
整數,236.0,214.0
法人表示,235.0,217.0
中信中國,234.0,149.0
交易量,233.0,115.0
場需求,233.0,198.0
統一投顧,233.0,195.0
銅板,233.0,223.0
半導體供應鏈,233.0,170.0
買點,232.0,183.0
違約,232.0,111.0
領頭,232.0,211.0
市場需求,232.0,197.0
電源,232.0,164.0
初股價,231.0,90.0
結合,230.0,195.0
盤初股價,230.0,89.0
電子股檔,229.0,227.0
良好,229.0,196.0
美系外資,229.0,108.0
紐約,229.0,198.0
郭智輝,229.0,70.0
彰銀,228.0,175.0
晶片法,228.0,119.0
揭露,228.0,194.0
物料,228.0,189.0
協議,228.0,158.0
依據,227.0,207.0
設施,227.0,161.0
周邊,227.0,173.0
費用,227.0,135.0
受限,227.0,121.0
歐美,226.0,183.0
生態系,226.0,141.0
延後,226.0,182.0
解析,226.0,206.0
變動,226.0,167.0
年量產,225.0,161.0
空單減,225.0,114.0
國際股市,225.0,184
算力,224.0,147.0
重挫點,223.0,196.0
事實,223.0,201.0
行業,223.0,181.0
下單,223.0,189.0
石化,222.0,171.0
腳步,222.0,193.0
類股表現,222.0,180.0
大通,221.0,138.0
成熟製程,221.0,106.0
賴清德,220.0,97.0
急拉,220.0,175.0
破季線,219.0,171.0
電腦展,219.0,154.0
競爭對手,218.0,166.0
震盪整,218.0,191.0
化學,218.0,115.0
應對,217.0,188.0
摩根大通,217.0,134.0
商務部,217.0,145.0
原物料,216.0,180.0
元投信自營商,215.0,215.0
季獲利,215.0,180.0
連假,214.0,139.0
本市,214.0,141.0
分檔百元股檔,214.0,214.0
散裝,214.0,166.0
個股表現,213.0,187.0
大利,213.0,178.0
雙位數,212.0,178.0
驗證,212.0,161.0
聯準會降息,212.0,193.0
震盪整理,212.0,186.0
桃園,212.0,88.0
徵關稅,211.0,120.0
分檔電子股檔,211.0,211.0
企業獲利,210.0,165.0
大樓,210.0,110.0
全球股市,210.0,172.0
總裁魏哲家,210.0,185.0
保證,209.0,138.0
國銀,209.0,113.0
理事,208.0,168.0
同意,208.0,176.0
退場機制,207.0,154.0
自動化,207.0,143.0
推測,205.0,179.0
湧入,205.0,183.0
進退場機制,205.0,154.0
機械,204.0,131.0
相對強,204.0,185.0
停價,204.0,171.0
主軸,204.0,174.0
金融類,204.0,183.0
瑞昱,203.0,168.0
併購,203.0,102.0
廣達緯創,201.0,184.0
金融市場,200.0,165.0
嘉澤,200.0,172.0
玻璃,200.0,136.0
台股短線,200.0,164.0
英國,200.0,163.0
債務,200.0,123.0
盤震盪,200.0,179.0
文曄,200.0,147.0
墨西哥,199.0,124.0
攻高,198.0,165.0
美科技,198.0,156.0
續看,198.0,183.0
贏家,198.0,169.0
倍增,198.0,148.0
功耗,198.0,116.0
發揮,198.0,180.0
美國總統大選,198.0,173.0
內部,198.0,157.0
加權指數收點,198.0,198.0
雲豹,196.0,135.0
瑞銀,196.0,91.0
日本半導體,196.0,93.0
續增,195.0,184.0
完工,195.0,143.
中位數,194.0,98.0
意見,194.0,165.0
營收約,194.0,149.0
盤中焦點,193.0,99.0
升高,193.0,174.0
台灣經濟,192.0,158.0
迅速,192.0,178.0
市場預估,192.0,147.0
研判,191.0,172.0
盤中速報,191.0,86.0
盤股價,191.0,160.0
感覺,191.0,158.0
低迷,191.0,167.0
揚升,190.0,168.0
面檔,190.0,190.0
收億元年增,190.0,145.0
性能,189.0,125.0
日加權指數收,189.0,189.
兩岸,189.0,114.0
規範,188.0,99.0
主委,188.0,105.0
新台幣匯,187.0,167.0
趨緩,187.0,166.0
元大美債正,187.0,146.0
進口,187.0,140.0
本廠,187.0,122.0
美元蘋果,185.0,83.0
規定,185.0,128.0
戰略,185.0,138.0
台積電美國,185.0,151.0
資自營商,185.0,174.0
深反彈,184.0,152.0
台灣價值,184.0,171.0
低震盪,184.0,156.0
創辦人張忠謀,184.0,153.0
台積電股票,183.0,105.0
降息預期,182.0,165.0
利率決策,182.0,139.0
科技類,182.0,165.0
終止,181.0,148.0
黃仁昭,181.0,124.0
外資自營,180.0,166.0
下影線,180.0,145.0
台股日加權指,180.0,180.0
縮減,180.0,163.0
知名,180.0,156.0
分行,180.0,52.0
參加,180.0,136.0
體製造,180.0,138.0
拿下,179.0,152.0
美元下,179.0,79.0
中芯,179.0,63.0
盤進,179.0,166.0
世界先進,179.0,72.0
元為連日賣,179.0,32.0
動性,179.0,149.0
法人認為,179.0,168.0
加拿大,178.0,115.0
黑翻紅,178.0,134.0
專注,178.0,152.0
建築,177.0,102.0
元大台灣價值,177.0,165.0
假期,177.0,152.0
指數小,177.0,147.0
認證,177.0,132.0
投信買賣,176.0,125.0
賣壓出籠,176.0,153.0
台灣價值高息,176.0,163.0
聯發科等,176.0,166.0
外資自營商,176.0,165.0
大投顧,176.0,78.0
季成,176.0,141.0
布蘭,176.0,168.0
技術領,176.0,141.0
依照,176.0,167.0
美元亞,176.0,72.0
日電美,176.0,176.0
流動,176.0,148.0
分別賣,176.0,159.0
勞工,176.0,139.0
前進,176.0,157.0
營收比,175.0,125.0
台美,175.0,105.0
旺宏,175.0,151.0
空單減少口,175.0,90.0
布蘭特,175.0,167.0
持股比例,175.0,88.0
資安,175.0,88.0
相對強勢,175.0,158.0
大台灣價值高,175.0,163.0
美元亞馬遜,175.0,71.0
解讀,174.0,145.0
自然,174.0,142.0
中價位,174.0,174.0
子族群,174.0,150.0
自營商分別買,174.0,174.0
轉買,173.0,144.0
構成,172.0,168.0
緩步,172.0,155.0
未平倉量,170.0,105.0
選後,170.0,115.0
大型科技,170.0,152.0
暫停,168.0,129.0
位居,168.0,138.0
續觀,168.0,151.0
買盤進,168.0,156.0
破底,168.0,122.0
黎方國,167.0,112.0
財經內容中心,167.0,167.0
裝廠,166.0,110.0
合約,166.0,109.0
電子零組件,166.0,134.0
動作,166.0,154.0
雲豹能源,165.0,114.0
蒸發,165.0,117.0
標準普爾,165.0,154.0
合庫,165.0,153.0
加權指數下,164.0,159.0
北美,164.0,116.0
白宮,164.0,119.0
分割,163.0,61.0
波克夏,163.0,62.0
精密,163.0,124.0
中環,163.0,116.0
服務業,163.0,121.0
週期,162.0,134.0
拋售,162.0,130.0
美國商務,162.0,126.0
空單增加,162.0,92.0
消費類,162.0,90.0
線下,162.0,143.0
事項,162.0,123.0
移動,162.0,112.0
鈊象,161.0,116.0
引起,161.0,144.0
市場觀望,161.0,143.0
大事,161.0,145.0
短期均線,161.0,134.0
保衛戰,161.0,132.0
代工業,161.0,104.0
美國商務部,161.0,125.0
出場,160.0,125.0
造紙,160.0,128.0
開幕,160.0,119.0
歐盟,160.0,82.0
取代,159.0,127.0
大規模,159.0,140.0
降息碼,159.0,101.0
均價,159.0,103.0
谷底,158.0,138.0
業主,158.0,132.0
正價,157.0,84.0
表現最佳,157.0,96.0
光罩,157.0,101.0
重登,157.0,116.0
獨家,156.0,118.0
同業,156.0,136.0
護盤,156.0,107.0
形式,156.0,150.0
史上最大,155.0,126.0
財報公布,155.0,129.0
個位數,155.0,111.0
標準普爾指數,155.0,145.0
各類,155.0,139.0
協商,155.0,98.0
淨空單減少,155.0,67.0
商用,154.0,76.0
日收盤價,154.0,95.0
日韓,154.0,124.0
大致,153.0,134.0
亞洲股市,153.0,146.0
存託憑證,153.0,134.0
心態,153.0,126.0
正價差,153.0,81.0
整數關卡,153.0,1
半導體製造,153.0,117.0
日累計,152.0,72.0
必需消費類,152.0,85.0
金三大法人,151.0,112.0
族群表,151.0,139.0
共識,151.0,128.0
高低,151.0,135.0
東森,151.0,114.0
增減,151.0,83.0
熊本廠,150.0,97.0
比率,150.0,103.0
獲利成長,150.0,132.0
中石化,150.0,127.0
中鴻,150.0,126.0
收美元下,149.0,54.0
經濟衰退,149.0,112.0
進步,149.0,117.0
族群表現,149.0,137.0
台積電奈米製,148.0,109.0
大股東,148.0,89.0
跳水,148.0,119.0
終場指數,148.0,144.0
自研,148.0,92.0
附近震盪,148.0,124.0
大爆,147.0,108.0
成長性,147.0,121.0
偏弱,147.0,116.0
花旗,146.0,93.0
半導體先進,146.0,129.0
晶片法案,146.0,97.0
積電奈米製程,146.0,109
技術領先,146.0,116.0
點成交量為,146.0,108
日經指數,146.0,107.0
壓回,146.0,132.0
電鴻海聯發科,146.0,136.0
亞太,145.0,96.0
終結,145.0,125.0
確認,145.0,130.0
財經媒體,145.0,145.0
力挺,144.0,130.0
穩盤,144.0,124.0
亞翔,144.0,107.0
組織,144.0,102.0
陳奕光,144.0,90.0
主權,144.0,67.0
可持續,144.0,123.0
新日興,144.0,112.0
多操作,143.0,129.0
加徵,143.0,81.0
來臨,143.0,133.0
殺低,143.0,126.0
