N-gram,TF,DF
短缺,88.0,63.0
入帳,87.0,70.0
關稅戰,87.0,71.0
趨勢不變,87.0,79.0
金融債,87.0,55.0
指數震盪,86.0,82.0
醫療類,86.0,84.0
退出,86.0,73.0
軟銀,86.0,32.0
福利,86.0,45.0
走勢震盪,86.0,70.0
先進封裝廠,86.0,55.0
台積電廣達,86.0,79.0
美國勞工,86.0,82.0
統整,85.0,76.0
搶先,85.0,81.0
週邊設備,85.0,77.0
台灣加權指數,85.0,76.0
市場規模,85.0,71.0
台灣高息動能,85.0,79.0
開始量產,85.0,71.0
主權基金,85.0,25.0
群益投等債,85.0,78.0
職缺,84.0,54.0
憂慮,84.0,73.0
研究團隊,84.0,59.0
驚喜,84.0,73.0
季辛格,84.0,35.0
鑽石,84.0,63.0
回答,84.0,73.0
主持,84.0,71.0
引進,84.0,65.0
商用不動產,84.0,26.0
日本股市,84.0,78.0
理性,84.0,57.0
勞動市場,84.0,67.0
盤中高,84.0,72.0
黑棒,84.0,76.0
豐田,84.0,35.0
光環,84.0,61.0
美國債,84.0,69.0
營建類,83.0,61.0
銷售額,83.0,52.0
吳家豪,83.0,83.0
跨足,83.0,71.0
暑假,83.0,70.0
倒貨,83.0,73.0
堅持,83.0,79.0
奈米產能,83.0,60.0
展覽,83.0,54.0
外溢,82.0,57.0
初領失業,82.0,74.0
廠建,82.0,74.0
手續費,82.0,50.0
大幅增,82.0,80.0
外資連賣,82.0,71.0
伺服器概念,82.0,59.0
回平盤,82.0,73.0
指數同步,82.0,79.0
比例不適用,82.0,44.0
中銀,82.0,69.0
眾議院,82.0,65.0
短線看法,82.0,82.0
亞航,82.0,71.0
債市,82.0,59.0
深圳,82.0,65.0
反手,82.0,75.0
介紹,82.0,71.0
資金行情,81.0,71.0
逆風,81.0,75.0
雷虎,81.0,68.0
映泰,81.0,65.0
台股成交量,81.0,79.0
撿便宜,81.0,69.0
孤立,81.0,65.0
大型電子,81.0,73.0
富邦越南,81.0,80.0
替代,81.0,63.0
競賽,81.0,61.0
母公司業主,81.0,60.0
掛牌上,81.0,66.0
買進賣出,81.0,70.0
紀念,81.0,56.0
能量,81.0,75.0
展望台,80.0,79.0
半導體需求,80.0,72.0
相較之下,80.0,76.0
程序,80.0,67.0
錯誤,80.0,62.0
遠雄,80.0,68.0
假前,80.0,64.0
高值,80.0,54.0
難免,80.0,75.0
黑色,80.0,68.0
中東地緣,80.0,73.0
晶片產業,80.0,57.0
感恩,80.0,56.0
年低,80.0,68.0
震盪後,79.0,74.0
打破,79.0,67.0
降價,79.0,64.0
信任,79.0,60.0
適當,79.0,71.0
戴爾,79.0,59.0
今年降息,79.0,68.0
天然,79.0,46.0
續加碼,79.0,72.0
減緩,79.0,75.0
市場情緒,79.0,72.0
短暫,79.0,73.0
劉揚偉,79.0,40.0
投資評等,79.0,69.0
電子金融,79.0,70.0
堤維西,79.0,67.0
防禦,79.0,70.0
買回股份,79.0,12.0
重磅科技,79.0,79.0
台灣供應鏈,79.0,61.0
台積電未來,78.0,70.0
好時機,78.0,63.0
短線震盪,78.0,68.0
貨運,78.0,46.0
生產力,78.0,52.0
電子產品,78.0,72.0
假期間,78.0,65.0
鳳凰城,78.0,39.0
代工業務,78.0,56.0
高成交,78.0,64.0
課徵關稅,78.0,53.0
改選,78.0,55.0
大變,78.0,74.0
重災,78.0,71.0
成交量縮,78.0,64.0
國泰證期顧問,77.0,75.0
表現不佳,77.0,77.0
世芯創意,77.0,64.0
航空雙雄,77.0,65.0
持續觀察,77.0,68.0
芝加哥,77.0,72.0
幅縮,77.0,71.0
德勒斯登,77.0,36.0
缺電,76.0,52.0
買家,76.0,52.0
反彈行情,76.0,65.0
創業,76.0,47.0
逆轉,76.0,66.0
多頭行情,76.0,62.0
市場恐慌,76.0,71.0
新聞熱,76.0,34.0
北京,76.0,50.0
川普勝,76.0,57.0
背景,76.0,70.0
錸德,75.0,54.0
失業金,75.0,68.0
花蓮,75.0,48.0
個人電腦,75.0,57.0
可觀察,75.0,72.0
地價,75.0,33.0
逆勢收,75.0,72.0
限談判,75.0,56.0
台積電工,75.0,54.0
營運長,75.0,60.0
工藝,75.0,47.0
創下史上,75.0,69.0
意識,75.0,63.0
廣明,75.0,61.0
消息面,75.0,67.0
建構,75.0,63.0
相對人,75.0,49.0
台積電目前,75.0,67.0
中東地緣政治,75.0,68.0
勞退,75.0,20.0
開戶,75.0,55.0
新公布,75.0,72.0
回報,75.0,65.0
衝刺,75.0,71.0
歷史經驗,75.0,73.0
無塵室,75.0,52.0
生水,75.0,21.0
交易相對,75.0,49.0
供應鏈名單,75.0,28.0
上游半導體,75.0,59.0
表現弱勢,74.0,64.0
開花,74.0,59.0
雲林,74.0,22.0
美元微軟,74.0,74.0
交易相對人,74.0,48.0
災區,74.0,67.0
壓縮,73.0,63.0
達麗,73.0,65.0
發行公司,73.0,60.0
貶破,73.0,53.0
晶片生產,73.0,59.0
航海王,73.0,56.0
人選,73.0,64.0
突圍,73.0,56.0
風暴,73.0,61.0
設計業,73.0,50.0
台股反彈,73.0,68.0
圓剛,73.0,58.0
合作關係,73.0,61.0
傳統產業,73.0,64.0
其他國家,73.0,56.0
分散風險,73.0,59.0
選自營商投信,73.0,73.0
資增億券,73.0,44.0
清倉,73.0,50.0
回歸基本,73.0,69.0
長期持有,73.0,61.0
定存,72.0,46.0
傳產類,72.0,68.0
公司董事,72.0,45.0
施工,72.0,48.0
衡量,72.0,66.0
多殺,72.0,52.0
設計服務,72.0,47.0
季線支撐,72.0,62.0
綜觀,72.0,72.0
成本轉嫁,72.0,67.0
廠務,72.0,56.0
詹家鴻,72.0,50.0
市場風險,72.0,38.0
總統賴清德,72.0,63.0
重災區,72.0,65.0
表現不俗,72.0,65.0
美國設廠,72.0,61.0
雄獅,72.0,66.0
帶動指數,71.0,68.0
道瓊指數下,71.0,69.0
數據公布,71.0,67.0
外銷訂單,71.0,39.0
奈米製程技術,71.0,52.0
成交量放大,71.0,68.0
盤下震盪,71.0,61.0
動能強勁,71.0,62.0
房地產類,71.0,71.0
成長幅度,71.0,63.0
部長郭智輝,71.0,56.0
工資,71.0,41.0
利差,71.0,48.0
掛牌上市,71.0,57.0
淨額,71.0,30.0
金融保險,71.0,63.0
國際油價,71.0,63.0
智能電動,71.0,71.0
恐慌情緒,70.0,66.0
瑞士信貸,70.0,44.0
永續發展,70.0,47.0
台積電熊本廠,70.0,56.0
加密貨幣,70.0,42.0
盤翻,70.0,65.0
台股開低走高,70.0,60.0
黃仁昭說明,70.0,70.0
台經院,70.0,39.0
系統整合,70.0,61.0
季線附近,70.0,61.0
想像空間,70.0,67.0
火力,70.0,67.0
智能電動車,70.0,70.0
解除,70.0,57.0
達標,70.0,63.0
啟動降息,70.0,64.0
美國四大指數,70.0,68.0
中國經濟,70.0,55.0
半導體公司,70.0,52.0
晶片供應,70.0,51.0
天然氣,70.0,39.0
失業金人數,70.0,63.0
失業救濟,70.0,54.0
端午,69.0,50.0
支撐力道,69.0,64.0
發現問題,69.0,69.0
郭台銘,69.0,45.0
中航,69.0,67.0
金投顧董事長,69.0,68.0
經濟體,69.0,59.0
未來發展,69.0,63.0
投資案,69.0,55.0
延長,69.0,52.0
改革,69.0,47.0
聯電三大法人,68.0,68.0
富邦投顧,68.0,66.0
支出物價指數,68.0,65.0
美股走勢,68.0,67.0
失守季線,68.0,57.0
風潮,68.0,62.0
斷頭,68.0,44.0
震盪走勢,68.0,62.0
報告顯示,68.0,60.0
同事,68.0,47.0
中國半導體,68.0,52.0
買賣中心,68.0,62.0
郭明錤,68.0,29.0
欣銓,67.0,39.0
櫃檯買賣中心,67.0,61.0
政府基金,67.0,28.0
桃園市,67.0,33.0
虎航,67.0,43.0
回購,67.0,40.0
台南市,67.0,44.0
克服,67.0,59.0
聰明,67.0,52.0
台灣高鐵,66.0,62.0
急挫,66.0,47.0
感恩節,66.0,47.0
技術論壇,66.0,35.0
老大,66.0,51.0
武林,66.0,47.0
美國債務,66.0,52.0
上榜,66.0,38.0
成屋,66.0,34.0
淨空單部位,66.0,64.0
空消息,66.0,61.0
終場收點,66.0,63.0
交屋,66.0,41.0
升指數,66.0,62.0
台灣證券,66.0,57.0
感測器,66.0,40.0
中東情勢,66.0,55.0
走勢分歧,66.0,60.0
台系供應鏈,66.0,53.0
國泰智能電動,66.0,66.0
重資,65.0,32.0
自動駕駛,65.0,44.0
貨櫃航運,65.0,55.0
車用電子,65.0,52.0
陷入震盪,65.0,62.0
雙殺,65.0,53.0
通膨壓力,65.0,62.0
生態系統,65.0,49.0
價回檔,65.0,55.0
緊張局勢,65.0,56.0
上市上櫃,65.0,46.0
綠燈,65.0,53.0
川普勝選,65.0,49.0
銀行總裁,64.0,48.0
簡威瑟,64.0,64.0
領失業金,64.0,57.0
證券櫃檯買賣,64.0,61.0
有競爭,64.0,54.0
化學品,64.0,30.0
帶動相關,64.0,62.0
關門,64.0,47.0
套利,64.0,46.0
每股盈餘,64.0,41.0
廣達緯穎,64.0,61.0
利空消息,64.0,59.0
策略師,64.0,53.0
購入,64.0,44.0
走低盤,64.0,63.0
指數收黑,64.0,63.0
藍圖,64.0,58.0
頹勢,64.0,63.0
擴充產能,64.0,60.0
落差,64.0,60.0
恆生,63.0,57.0
設計公司,63.0,53.0
競爭優勢,63.0,54.0
翻紅終場,63.0,62.0
天鈺,63.0,55.0
購置,63.0,29.0
過關,63.0,58.0
未平倉量值,63.0,63.0
緯創緯穎,63.0,58.0
航線,62.0,40.0
良性,62.0,56.0
減資,62.0,29.0
波音,62.0,35.0
預期未來,62.0,58.0
洽談,62.0,49.0
融券交易,62.0,60.0
投票,62.0,39.0
防守,62.0,57.0
公司財,62.0,59.0
淨匯入,62.0,23.0
美元德州儀器,62.0,62.0
中央銀行,61.0,58.0
電腦及週邊,61.0,56.0
輔助,61.0,49.0
鴻海集團,61.0,49.0
境內,61.0,45.0
領失業金人數,61.0,54.0
推遲,61.0,49.0
奈米需求,61.0,41.0
追加,61.0,46.0
好處,61.0,52.0
人們,61.0,54.0
螢幕,61.0,35.0
備忘錄,61.0,51.0
累計營收,61.0,52.0
關鍵技術,61.0,52.0
預估目標,61.0,28.0
披露,61.0,52.0
次世代,61.0,51.0
量大強,61.0,54.0
智慧製造,60.0,45.0
台肥,60.0,38.0
紐約股市,60.0,60.0
影響市場,60.0,59.0
花旗環球,60.0,33.0
稅率,60.0,44.0
亞軍,60.0,45.0
持續提升,60.0,57.0
抽籤,60.0,22.0
美國股市週,60.0,60.0
賣單,60.0,52.0
疑似,60.0,35.0
雙重,60.0,54.0
藝術,60.0,44.0
腰斬,60.0,46.0
用途,60.0,55.0
有感,60.0,55.0
乖離過大,60.0,45.0
墊底,60.0,49.0
相關應用,60.0,50.0
中信美國,60.0,40.0
艾克爾,60.0,23.0
事務所,60.0,31.0
姿態,60.0,48.0
陣營,60.0,47.0
月增率,60.0,44.0
大受惠,59.0,54.0
領導地位,59.0,48.0
竹南,59.0,36.0
清單,59.0,45.0
急拉報元成交,59.0,44.0
公園,59.0,33.0
製程晶圓,59.0,49.0
存款餘額,59.0,27.0
電源供應,59.0,54.0
量產奈米,59.0,49.0
長紅棒,59.0,55.0
廠產,59.0,54.0
上沖下洗,59.0,51.0
簽訂,59.0,52.0
外匯存底,59.0,13.0
續創歷史新高,59.0,56.0
銷售數,59.0,58.0
高估,59.0,57.0
美國勞工部,59.0,58.0
籠罩,59.0,55.0
資格,59.0,51.0
職位空缺,59.0,40.0
幸運,58.0,27.0
轉空,58.0,52.0
成效,58.0,56.0
收美元美光,58.0,58.0
有望帶動,58.0,55.0
間接,58.0,48.0
麥格理,58.0,37.0
京鼎,58.0,46.0
多方缺口,58.0,43.0
重挫逾點,58.0,48.0
數位轉型,58.0,39.0
光學鏡,58.0,48.0
安排,58.0,46.0
蘋果股價,58.0,55.0
環評,58.0,27.0
觀測,58.0,50.0
監察人,58.0,51.0
年化配息,58.0,31.0
美債上限,58.0,38.0
挪威,58.0,24.0
表現疲弱,58.0,57.0
減幅,58.0,42.0
台積電三星,58.0,51.0
日休,58.0,54.0
魏哲家指出,58.0,43.0
新統,58.0,56.0
心美,58.0,56.0
運營,58.0,46.0
爆紅,58.0,17.0
信賴,58.0,46.0
短時間,58.0,53.0
中國信託,58.0,37.0
神盾集團,58.0,43.0
道歉,57.0,9.0
願景,57.0,51.0
台灣證券交易,57.0,49.0
績效表,57.0,41.0
收盤時道瓊工,57.0,57.0
輝達創辦人,57.0,54.0
成本高,57.0,52.0
電訪表示,57.0,56.0
金雞,57.0,48.0
包材,57.0,4.0
海光,57.0,48.0
合計三大法人,57.0,48.0
攻防,57.0,49.0
美股重挫,57.0,50.0
檢討,57.0,45.0
盤上下震盪,57.0,51.0
中信美國公債,57.0,37.0
元大台灣,57.0,51.0
交易表,57.0,54.0
議價,57.0,47.0
教父,57.0,44.0
有支撐,57.0,52.0
櫃檯指數,57.0,54.0
受訪表,57.0,53.0
顯示器,56.0,42.0
光學鏡頭,56.0,46.0
台股行情,56.0,52.0
關盤,56.0,54.0
拉回平盤,56.0,49.0
科技基金,56.0,36.0
新聞稿,56.0,45.0
成長力,56.0,51.0
新冠疫情,56.0,52.0
走勢短線,56.0,53.0
富邦臺灣,56.0,45.0
失守半年線,56.0,48.0
半導體晶片,56.0,48.0
成長可期,56.0,56.0
蘋果輝達,56.0,52.0
中小型股為主,56.0,55.0
摩根大通證券,56.0,36.0
諮詢,56.0,38.0
狂殺,56.0,47.0
發行價,56.0,45.0
初領失業金,56.0,52.0
台灣虎航,56.0,38.0
南科廠,56.0,37.0
出走,56.0,41.0
宣稱,56.0,39.0
結盟,55.0,44.0
居家,55.0,53.0
戶持,55.0,43.0
貶至,55.0,47.0
曲線,55.0,50.0
租金,55.0,31.0
首相,55.0,48.0
今日三大法人,55.0,54.0
私募,55.0,34.0
芯片,55.0,9.0
高興,55.0,48.0
人工智能,55.0,32.0
新政府,55.0,43.0
大怒神,55.0,36.0
年線支撐,55.0,49.0
績效表現,55.0,40.0
半導體領域,55.0,51.0
長線趨勢,55.0,51.0
翻黑終場,55.0,54.0
熊市,54.0,33.0
美股市,54.0,48.0
證券劃撥,54.0,18.0
國安基金,54.0,23.0
星宇,54.0,32.0
象徵,54.0,49.0
州長,54.0,49.0
數值,54.0,38.0
市場等待,54.0,50.0
持續留意,54.0,52.0
晶片大廠輝達,54.0,51.0
興能,54.0,47.0
中鼎,54.0,42.0
證交所統計,54.0,46.0
石破茂,54.0,32.0
爆發力,54.0,46.0
持續加碼,54.0,50.0
建倉,53.0,37.0
台灣出口,53.0,26.0
大型企業,53.0,50.0
作品,53.0,20.0
軍備,53.0,40.0
碼頭,53.0,35.0
暖身,53.0,48.0
持續攀升,53.0,52.0
成長潛力,53.0,46.0
玻璃基板,53.0,28.0
帳面,53.0,38.0
期貨夜盤,53.0,48.0
新統計,53.0,51.0
小股東,53.0,33.0
推升指數,53.0,50.0
守日均線,53.0,39.0
躍進,53.0,49.0
橫空出世,53.0,50.0
重燃,53.0,46.0
周末,53.0,40.0
科技領域,53.0,52.0
中光電,53.0,44.0
台股今天早盤,53.0,51.0
排擠,53.0,45.0
高毛利,53.0,46.0
大投信,53.0,32.0
中國股市,53.0,40.0
多頭趨勢,53.0,47.0
投資額,53.0,42.0
避險情緒,53.0,50.0
保證金,53.0,32.0
朱成志,52.0,30.0
團隊表示,52.0,42.0
消耗,52.0,38.0
維持多頭,52.0,48.0
光鋐,52.0,33.0
配息金額,52.0,39.0
全球市值,52.0,45.0
借錢,52.0,39.0
半導體產業鏈,52.0,42.0
主動式,52.0,31.0
融合,52.0,28.0
美股方面,52.0,52.0
金麗,52.0,42.0
工業用,52.0,39.0
部分買權,52.0,52.0
恐慌性,52.0,46.0
熊本一廠,52.0,25.0
零售銷售數,52.0,52.0
單季新高,52.0,44.0
英特爾執行長,52.0,49.0
參展,52.0,43.0
景氣循環,52.0,43.0
頻繁,51.0,48.0
半導體封裝,51.0,38.0
運算需求,51.0,48.0
稅前盈餘,51.0,27.0
成長力道,51.0,46.0
呈現震盪,51.0,50.0
半導體生態,51.0,39.0
恆生指數,51.0,48.0
英特爾上,51.0,50.0
國內生,51.0,51.0
公司盤後股價,51.0,42.0
陽明長榮,51.0,50.0
測設備,51.0,39.0
比賽,51.0,34.0
每股配發,51.0,43.0
相關半導體,51.0,50.0
觀察指標,51.0,47.0
登記,51.0,20.0
幅調,51.0,43.0
日均成交,51.0,50.0
有助台,51.0,45.0
生產奈米,51.0,32.0
維修,51.0,34.0
奪下,51.0,45.0
非農數據,51.0,40.0
富邦投顧董事,51.0,51.0
重劃區,51.0,33.0
嘉義科學,51.0,25.0
下滑點,50.0,48.0
認識,50.0,47.0
恐慌蛙,50.0,2.0
劉德音表示,50.0,29.0
指數上週,50.0,44.0
指數下挫點,50.0,49.0
月線附近,50.0,42.0
好壞,50.0,47.0
優選高股息,50.0,41.0
決心,50.0,49.0
創作,50.0,23.0
台灣證交所,50.0,49.0
外資多單,50.0,48.0
美元補助,50.0,34.0
貶勢,50.0,38.0
外資券商,50.0,36.0
陸廠,50.0,31.0
首季財報,50.0,43.0
帝寶,50.0,43.0
嘉義科學園區,50.0,25.0
台積電業績,50.0,47.0
平方,50.0,36.0
記憶體大廠,50.0,41.0
餐旅,50.0,32.0
價結,50.0,48.0
昂貴,50.0,40.0
南廠,50.0,33.0
守萬點,50.0,44.0
凱基優選高,50.0,41.0
擠進,50.0,36.0
累下,50.0,50.0
董事長暨總裁,50.0,44.0
海通,50.0,23.0
題材加持,50.0,48.0
非常好,50.0,48.0
開始生產,50.0,43.0
拋出,50.0,47.0
快攻,50.0,43.0
創辦人黃仁勳,50.0,46.0
回調,49.0,39.0
抑制,49.0,48.0
守紅盤,49.0,46.0
嚴控,49.0,40.0
儲蓄,49.0,36.0
交易市場,49.0,40.0
營收公布,49.0,41.0
合作開發,49.0,43.0
分析師詹家鴻,49.0,49.0
魏聖峰,49.0,49.0
每股現金,49.0,33.0
奈米晶圓,49.0,36.0
德州州長,49.0,45.0
評價面,49.0,38.0
伍德,49.0,14.0
未來走勢短線,49.0,49.0
年終,49.0,41.0
失守萬點,49.0,43.0
議長,49.0,43.0
輸出,49.0,41.0
日均線之上,49.0,46.0
封裝製程,49.0,40.0
台積電日本,49.0,44.0
基優選高股息,49.0,40.0
黑天鵝,49.0,39.0
國內生產,49.0,49.0
旗艦晶片,49.0,36.0
通膨預期,49.0,38.0
缺工,49.0,39.0
壽險業,49.0,33.0
連接器,49.0,40.0
全年資本,49.0,40.0
特用化學,49.0,32.0
大盤震盪,49.0,48.0
相對疲弱,49.0,44.0
回彈,49.0,41.0
新光投信,49.0,37.0
終場重挫,49.0,46.0
造成影響,49.0,41.0
零售銷售數據,49.0,49.0
主要業務,48.0,48.0
稱霸,48.0,45.0
時薪,48.0,25.0
市場表現,48.0,45.0
觀測站,48.0,44.0
群益投顧分析,48.0,48.0
止步,48.0,42.0
撤出,48.0,42.0
終場成交量,48.0,48.0
全年資本支出,48.0,40.0
證券劃撥存款,48.0,17.0
林修銘,48.0,18.0
投信指出,48.0,41.0
李國鼎,48.0,20.0
電源管理,48.0,39.0
低階,48.0,43.0
瑞銀證券,48.0,31.0
多重資產,48.0,15.0
商業模式,48.0,34.0
製造廠,48.0,40.0
鄭瑞宗,48.0,9.0
每股現金股利,47.0,32.0
科技龍頭,47.0,44.0
繪圖處理,47.0,46.0
資深副總經理,47.0,36.0
集結,47.0,44.0
當局,47.0,43.0
持續震盪,47.0,37.0
香港恆生,47.0,45.0
續航力,47.0,42.0
救濟金,47.0,39.0
達欣,47.0,35.0
美股收黑,47.0,42.0
技術面觀察,47.0,47.0
創意世芯,47.0,45.0
永光,47.0,40.0
半導體台積電,47.0,47.0
中華民國,47.0,29.0
綜合分析,47.0,47.0
聯嘉,47.0,38.0
有所表現,47.0,44.0
汎銓,47.0,32.0
著眼,47.0,45.0
高性能,47.0,35.0
伺服器散熱,47.0,46.0
技嘉廣達,47.0,45.0
加拿大墨西哥,47.0,41.0
先進封測,47.0,35.0
回測半年線,47.0,38.0
破產,47.0,25.0
居家生活,47.0,45.0
得獎,46.0,19.0
失業救濟金,46.0,38.0
重組,46.0,40.0
電子半導體,46.0,39.0
廣達英業達,46.0,43.0
台股休市,46.0,38.0
基本面佳,46.0,46.0
美國生產,46.0,42.0
汽車類,46.0,36.0
繪圖處理器,46.0,45.0
僵局,46.0,39.0
交棒,46.0,30.0
發展趨勢,46.0,43.0
暫停升息,46.0,36.0
探底,46.0,37.0
推理,46.0,30.0
追蹤指數,46.0,27.0
概念股表現,46.0,44.0
活化,46.0,25.0
科學法,46.0,26.0
國際金融,46.0,36.0
伺服器晶片,46.0,37.0
日乖離率,46.0,46.0
拖累指數,46.0,46.0
美國政策,46.0,46.0
雲端運算,46.0,38.0
密切合作,45.0,40.0
易飛網,45.0,32.0
英特爾股價,45.0,26.0
課程,45.0,19.0
多震盪,45.0,40.0
時序進入,45.0,43.0
殺聲,45.0,42.0
配發現金,45.0,36.0
天王,45.0,39.0
令人失望,45.0,43.0
排序,45.0,41.0
供應鏈透露,45.0,39.0
製程送給美國,45.0,45.0
魏哲家說,45.0,31.0
重創,45.0,41.0
台灣市場,45.0,39.0
整體營收,45.0,40.0
充足,45.0,44.0
美東時間,45.0,43.0
均線之下,45.0,35.0
買盤追價,45.0,39.0
震盪劇烈,45.0,45.0
聯發科股價,45.0,40.0
台股權重,45.0,36.0
反指標,45.0,28.0
新浪,45.0,25.0
面額,44.0,11.0
獲利回吐,44.0,42.0
技術分析,44.0,27.0
通膨指標,44.0,43.0
經營團隊,44.0,30.0
新成屋,44.0,19.0
高薪,44.0,38.0
互相,44.0,42.0
交易金額,44.0,38.0
安定,44.0,31.0
大利空,44.0,41.0
標售,44.0,26.0
異質,44.0,34.0
