N-gram,TF,DF
經理人蘇鼎宇,29.0,22.0
奈米量產,29.0,24.0
補足,29.0,29.0
局部,29.0,8.0
中港股市,29.0,19.0
經濟復甦,29.0,24.0
公共建設,29.0,12.0
跳機,29.0,9.0
重申買進,29.0,9.0
污染,29.0,15.0
台股開紅盤,29.0,27.0
龍潭科學園區,29.0,16.0
零碳排,29.0,17.0
川普保護,29.0,26.0
台股規模,28.0,14.0
備援,28.0,25.0
產能需求,28.0,21.0
疾病,28.0,11.0
推案量,28.0,13.0
能源科技,28.0,9.0
持續創新,28.0,23.0
何世昌,28.0,10.0
逸達生技,28.0,5.0
嘉里大榮,28.0,6.0
消費性電子展,28.0,27.0
警訊,28.0,21.0
伺服器處理器,28.0,18.0
川普保護費,28.0,25.0
林憲銘,28.0,6.0
房地合一稅,28.0,9.0
好市多,28.0,8.0
挑戰歷史高,28.0,25.0
交保護費,28.0,24.0
強力買進,27.0,20.0
整合元件,27.0,23.0
全球領先,27.0,21.0
付費,27.0,25.0
機構投資人,27.0,21.0
中小型企業,27.0,9.0
殖利率上升,27.0,27.0
安碁資訊,27.0,22.0
名列前茅,27.0,25.0
機器人技術,27.0,7.0
李家妮,27.0,12.0
訊連,27.0,21.0
早盤放量,27.0,25.0
社團,27.0,19.0
數位經濟,27.0,9.0
短線修正,27.0,26.0
挑戰歷史高點,27.0,24.0
再生能源,27.0,9.0
榮譽,27.0,23.0
緘默期,27.0,23.0
奈米訂單,27.0,26.0
虛擬資產,27.0,1.0
配息政策,26.0,19.0
彭博商業,26.0,25.0
補缺口,26.0,21.0
寧夏夜市,26.0,9.0
市值突破兆,26.0,23.0
台積電年營收,26.0,24.0
中美貿易戰,26.0,23.0
天價市值,26.0,25.0
台新金控,26.0,19.0
紅盤台積電,26.0,23.0
中央大學,26.0,10.0
看盤軟體,26.0,26.0
援助,26.0,14.0
中山,26.0,19.0
新興產業,26.0,13.0
晶圓製程,26.0,19.0
波浪,26.0,18.0
台積電本益比,26.0,25.0
黃文清指出,26.0,24.0
淨零碳,26.0,16.0
商品交易,26.0,22.0
亞洲生技,26.0,22.0
美中晶片,26.0,20.0
未來台灣,26.0,21.0
美國長期,26.0,25.0
撤銷,26.0,15.0
張繼文,26.0,22.0
製造業務,26.0,17.0
陸續出爐,26.0,24.0
彰顯,26.0,22.0
傳統伺服器,26.0,20.0
可能破,25.0,23.0
未爆彈,25.0,7.0
廠量,25.0,21.0
抱緊,25.0,22.0
交易策略,25.0,19.0
野村投信投資,25.0,25.0
台股萬點,25.0,21.0
多行情,25.0,22.0
通車,25.0,11.0
保護費說,25.0,23.0
矽乙烷,25.0,8.0
觀察盤面焦點,25.0,25.0
突破萬點,25.0,20.0
淨零碳排,25.0,15.0
吳大任,25.0,5.0
補償,25.0,11.0
博智,25.0,15.0
數據機,25.0,10.0
電視面板,25.0,12.0
總統參選人,25.0,21.0
夫婦,25.0,13.0
季平均,25.0,9.0
川普言論,24.0,21.0
歷史高價,24.0,21.0
印能科技,24.0,10.0
服務公司,24.0,17.0
緯創光寶,24.0,19.0
皮衣,24.0,6.0
