date,n_articles,return_rate,label
2023-03-03,71,0.0096899224806201,1
2023-03-09,77,-0.0172413793103448,0
2023-03-13,65,-0.0116279069767441,0
2023-03-15,78,-0.0117416829745596,0
2023-03-16,90,0.0257425742574257,1
2023-03-17,99,-0.0115830115830115,0
2023-03-20,62,0.009765625,1
2023-03-21,65,0.0309477756286266,1
2023-03-22,157,0.0093808630393996,1
2023-03-24,98,-0.0148423005565862,0
2023-03-27,72,-0.0112994350282485,0
2023-03-28,64,0.0095238095238095,1
2023-03-29,82,0.0094339622641509,1
2023-04-10,79,-0.0094517958412098,0
2023-04-12,101,-0.0192307692307692,0
2023-04-13,144,0.0117647058823529,1
2023-04-17,199,-0.0096153846153846,0
2023-04-18,101,-0.0097087378640776,0
2023-04-24,97,-0.0177514792899408,0
2023-04-25,102,-0.0130522088353413,0
2023-04-27,106,0.0172239108409321,1
2023-05-02,91,-0.0099800399201596,0
2023-05-08,89,0.0119047619047619,1
2023-05-09,184,-0.0137254901960784,0
2023-05-15,119,0.0191725529767911,1
2023-05-16,115,0.0277227722772277,1
2023-05-17,139,0.0211946050096339,1
2023-05-23,124,-0.0094339622641509,0
2023-05-24,70,0.0342857142857142,1
2023-05-25,127,0.0423572744014733,1
2023-05-30,68,-0.0141342756183745,0
2023-05-31,95,-0.0125448028673835,0
2023-06-01,88,0.0199637023593466,1
2023-06-02,96,-0.0124555160142348,0
2023-06-05,63,0.009009009009009,1
2023-06-06,108,0.0142857142857142,1
2023-06-07,78,-0.0158450704225352,0
2023-06-08,65,0.0107334525939177,1
2023-06-09,82,0.015929203539823,1
2023-06-12,61,0.0331010452961672,1
2023-06-16,97,-0.0101867572156196,0
2023-06-21,68,-0.0120481927710843,0
2023-07-03,56,0.0103626943005181,1
2023-07-05,53,-0.0292096219931271,0
2023-07-10,61,0.0212389380530973,1
2023-07-12,71,0.0121107266435986,1
2023-07-13,81,0.0102564102564102,1
2023-07-17,104,-0.0169204737732656,0
2023-07-20,181,-0.0328151986183074,0
2023-07-24,155,0.0197132616487455,1
2023-08-01,96,-0.0105820105820105,0
