date,return_rate,label
2023-03-09,-0.0172413793103448,0
2023-03-16,0.0257425742574257,1
2023-03-21,0.0309477756286266,1
2023-04-12,-0.0192307692307692,0
2023-04-24,-0.0177514792899408,0
2023-04-27,0.0172239108409321,1
2023-05-15,0.0191725529767911,1
2023-05-16,0.0277227722772277,1
2023-05-17,0.0211946050096339,1
2023-05-24,0.0342857142857142,1
2023-05-25,0.0423572744014733,1
2023-06-01,0.0199637023593466,1
2023-06-07,-0.0158450704225352,0
2023-06-09,0.015929203539823,1
2023-06-12,0.0331010452961672,1
2023-07-05,-0.0292096219931271,0
2023-07-10,0.0212389380530973,1
2023-07-17,-0.0169204737732656,0
2023-07-20,-0.0328151986183074,0
2023-07-24,0.0197132616487455,1
2023-08-22,0.0203327171903881,1
2023-08-23,0.0217391304347826,1
2023-08-24,-0.0319148936170212,0
2023-09-01,0.0164233576642335,1
2023-09-13,0.0166358595194085,1
2023-09-15,-0.032258064516129,0
2023-09-28,0.0191204588910133,1
2023-10-03,-0.0170132325141776,0
2023-10-04,0.0153846153846153,1
2023-10-06,0.0225563909774436,1
2023-10-17,-0.0199637023593466,0
2023-10-19,0.0183150183150183,1
2023-10-20,-0.0215827338129496,0
2023-10-25,-0.0238970588235294,0
2023-11-01,0.0359848484848484,1
2023-11-10,0.0251346499102333,1
2023-11-14,0.0157342657342657,1
2024-01-02,-0.0252951096121416,0
2024-01-18,0.064625850340136,1
2024-01-24,0.0239234449760765,1
2024-01-30,-0.0218068535825545,0
2024-02-02,0.0173228346456692,1
2024-02-05,0.0789473684210526,1
2024-02-15,-0.0200860832137733,0
2024-02-21,0.0161527165932452,1
2024-03-01,0.0507246376811594,1
2024-03-06,0.0340136054421768,1
2024-03-07,0.031578947368421,1
2024-03-08,-0.0229591836734693,0
2024-03-14,-0.0395408163265306,0
2024-03-20,0.0343007915567282,1
2024-04-01,0.0259740259740259,1
2024-04-08,0.0459770114942528,1
2024-04-15,-0.0223325062034739,0
2024-04-16,0.0203045685279187,1
2024-04-18,-0.0671641791044776,0
2024-04-22,0.0161725067385444,1
2024-04-23,0.0384615384615384,1
2024-04-24,-0.0217113665389527,0
2024-04-25,0.02088772845953,1
2024-04-26,0.0166240409207161,1
2024-04-30,-0.0227848101265822,0
2024-05-06,0.0178117048346055,1
2024-05-10,0.0211970074812967,1
2024-05-14,0.0169696969696969,1
2024-05-21,0.0273483947681331,1
2024-05-29,-0.0221703617269544,0
2024-05-30,-0.0202863961813842,0
2024-05-31,0.0304506699147381,1
2024-06-04,0.0178784266984505,1
2024-06-05,0.0468384074941452,1
2024-06-06,-0.0167785234899328,0
2024-06-11,0.029445073612684,1
2024-06-17,0.023887079261672,1
2024-06-18,0.0402969247083775,1
2024-06-21,-0.0309278350515463,0
2024-06-25,0.0158730158730158,1
2024-07-02,0.0197916666666666,1
2024-07-03,0.0265577119509703,1
2024-07-05,0.0298507462686567,1
2024-07-10,0.0334928229665071,1
2024-07-11,-0.037037037037037,0
2024-07-16,-0.0236966824644549,0
2024-07-17,-0.0242718446601941,0
2024-07-18,-0.0348258706467661,0
2024-07-19,-0.0319587628865979,0
2024-07-22,0.0425985090521831,1
2024-07-23,-0.0561797752808988,0
2024-07-26,0.0216450216450216,1
2024-07-31,0.0278372591006423,1
2024-08-01,-0.059375,0
2024-08-02,-0.0974529346622369,0
2024-08-05,0.0797546012269938,1
2024-08-06,0.0454545454545454,1
2024-08-07,-0.0260869565217391,0
2024-08-08,0.0424107142857142,1
2024-08-15,0.0275715800636267,1
2024-08-20,-0.0154162384378211,0
2024-08-27,0.0233545647558386,1
2024-08-28,-0.0217842323651452,0
2024-09-03,-0.0542553191489361,0
2024-09-05,0.0177383592017738,1
2024-09-06,-0.0206971677559912,0
2024-09-11,0.0432852386237513,1
2024-09-18,0.0201912858660998,1
2024-09-24,0.0182370820668693,1
2024-09-27,-0.043,0
2024-09-30,0.0156739811912225,1
2024-10-04,0.0286591606960081,1
2024-10-09,0.0245098039215686,1
2024-10-14,0.0239234449760765,1
2024-10-15,-0.0233644859813084,0
2024-10-17,0.0483091787439613,1
2024-11-07,0.0234741784037558,1
2024-11-11,-0.032258064516129,0
2024-11-21,0.0297029702970297,1
2024-11-25,-0.0194174757281553,0
2024-11-29,0.0391566265060241,1
2024-12-02,0.0193236714975845,1
2024-12-10,-0.0187793427230046,0
2024-12-13,0.0187793427230046,1
2024-12-19,-0.0327102803738317,0
2024-12-20,0.0434782608695652,1
2025-01-03,0.0465116279069767,1
2025-01-07,-0.0221238938053097,0
2025-01-10,-0.0227272727272727,0
2025-01-14,-0.0229357798165137,0
2025-01-15,0.0375586854460093,1
2025-01-22,-0.0572687224669603,0
2025-02-03,0.0233644859813084,1
2025-02-07,-0.0177777777777777,0
2025-02-13,-0.0275229357798165,0
2025-02-14,0.0235849056603773,1
2025-02-21,-0.0182648401826484,0
2025-02-24,-0.0186046511627906,0
2025-02-26,-0.0188679245283018,0
