prev_ret_1d,prev_ret_5d,vol_5d,vol_20d,rsi_14,n_articles,ret1_std,ret5_std,rsi_norm,vol_ratio,sign_ret1,dow_sin,dow_cos
-0.0057251908396946,-0.0019157088122605,0.0068929818578352,0.0067816296164507,50.0,77,-0.8305814017735751,-0.2824846085323423,0.0,1.0164181890636608,-1.0,-0.587785252292473,-0.8090169943749475
0.0019607843137254,-0.019193857965451,0.0099144648227964,0.0086093261482106,50.0,90,0.1977698616185861,-2.2294236901692273,0.0,1.1515945773423033,1.0,-0.587785252292473,-0.8090169943749475
-0.0115830115830115,-0.0077519379844961,0.0157631955059242,0.0115194420424475,46.26865671641792,65,-0.7348132065307604,-0.6729432924353814,-0.1492537313432831,1.368398032114646,-1.0,0.9510565162951535,0.30901699437494745
-0.0094517958412098,-0.0205607476635514,0.0043607842531984,0.0125235192754284,55.88235294117647,101,-2.1674482427776622,-1.6417694414538802,0.23529411764705885,0.34820729502780107,-1.0,0.5877852522924732,-0.8090169943749473
-0.0038986354775828,-0.0096899224806201,0.006540323531632,0.0091058824156065,25.0,97,-0.5960912327677544,-1.0641375977617127,-1.0,0.7182517905024448,-1.0,0.0,1.0
-0.0130522088353414,-0.0362745098039215,0.0084062220384184,0.0092487325883749,22.22222222222221,106,-1.5526824355656403,-3.9221017838161405,-1.1111111111111116,0.9089043140831385,-1.0,-0.587785252292473,-0.8090169943749475
-0.0060120240480961,-0.008,0.0096709650354987,0.0094825821931879,40.49586776859503,119,-0.6216564540832857,-0.8436511701670601,-0.38016528925619864,1.0198651211054002,-1.0,0.0,1.0
-0.001008064516129,-0.0168650793650794,0.0126315976732912,0.010399180669026,55.73770491803278,115,-0.07980492603965952,-1.6217684531270355,0.22950819672131131,1.2146712254170342,-1.0,0.9510565162951535,0.30901699437494745
0.0191725529767912,-0.0098039215686274,0.0160680072051454,0.0120666692521193,70.07299270072993,139,1.1932121264253839,-0.8124788405977986,0.8029197080291971,1.331601418204875,1.0,0.5877852522924732,-0.8090169943749473
-0.0018832391713747,0.0495049504950495,0.0115305905915634,0.0118385831863589,69.28571428571428,70,-0.1633253321386061,4.181658218654892,0.7714285714285711,0.9739831760457485,-1.0,0.5877852522924732,-0.8090169943749473
-0.0094339622641509,0.0115606936416186,0.0170455410463546,0.0131778679116713,75.0,127,-0.5534559861688054,0.877280372386786,1.0,1.2934966586128267,-1.0,-0.587785252292473,-0.8090169943749475
-0.0141342756183745,0.0628571428571429,0.0230593459321945,0.0162522661254331,76.4423076923077,88,-0.6129518820879476,3.867590137653279,1.0576923076923077,1.4188379371741693,-1.0,-0.587785252292473,-0.8090169943749475
0.0090090090090089,-0.0106007067137808,0.0152449463220567,0.0165624858402247,69.0,78,0.5909501358147212,-0.6400428302620471,0.76,0.9204498204329736,1.0,0.5877852522924732,-0.8090169943749473
