date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-11-07,117,0.5106,0.5106,1.0,True,,conf<0.6,1,0.0234741784037558,-0.0234741784037558,0.9765258215962442,1.0234741784037558
2024-11-11,167,0.6092,0.6092,1.0,True,1.0,extreme_consensus(100%),0,-0.032258064516129,-0.032258064516129,0.9450249886415267,0.9904588823262153
2024-11-12,182,0.4823,0.5177,0.0,True,,conf<0.6,0,-0.0142857142857142,0.0142857142857142,0.9585253456221199,0.9763094697215551
2024-11-15,153,0.5632,0.5632,1.0,True,,conf<0.6,0,-0.0096618357487922,0.0096618357487922,0.967786460072575,0.966876527985115
2024-11-18,105,0.4945,0.5055,0.0,True,,conf<0.6,1,0.0146341463414634,-0.0146341463414634,0.953623731388586,0.9810259405897752
2024-11-19,118,0.6216,0.6216,1.0,True,1.0,extreme_consensus(100%),0,-0.0144230769230769,-0.0144230769230769,0.9398695429550968,0.966876527985115
2024-11-20,120,0.6258,0.6258,1.0,True,1.0,extreme_consensus(100%),0,-0.0146341463414634,-0.0146341463414634,0.9261153545216076,0.9527271153804548
2024-11-21,112,0.6213,0.6213,1.0,True,1.0,extreme_consensus(100%),1,0.0297029702970297,0.0297029702970297,0.9536237313885861,0.9810259405897753
2024-11-22,120,0.6257,0.6257,1.0,True,1.0,extreme_consensus(100%),0,-0.0096153846153846,-0.0096153846153846,0.9444542724329267,0.9715929988533352
2024-11-25,82,0.5984,0.5984,1.0,True,,conf<0.6,0,-0.0194174757281553,0.0194174757281553,0.9627931903442456,0.9527271153804548
2024-11-26,148,0.6205,0.6205,1.0,True,1.0,extreme_consensus(100%),0,-0.0099009900990099,-0.0099009900990099,0.9532605844992531,0.9432941736440147
2024-11-28,161,0.5668,0.5668,1.0,True,,conf<0.6,0,-0.008955223880597,0.008955223880597,0.9617972464499926,0.9348467631337698
2024-11-29,120,0.5043,0.5043,1.0,True,,conf<0.6,1,0.0391566265060241,-0.0391566265060241,0.9241365108962278,0.9714522086781644
2024-12-02,116,0.6165,0.6165,1.0,True,1.0,extreme_consensus(100%),1,0.0193236714975845,0.0193236714975845,0.9419942212517104,0.990224232034264
2024-12-03,118,0.6226,0.6226,1.0,True,1.0,extreme_consensus(100%),1,0.0142180094786729,0.0142180094786729,0.9553875040183222,1.0043032495513387
2024-12-05,115,0.4783,0.5217,0.0,True,,conf<0.6,0,-0.0093023255813953,0.0093023255813953,0.9642748296370972,0.9949608937415588
2024-12-06,116,0.4477,0.5523,0.0,True,,conf<0.6,1,0.0093896713615023,-0.0093896713615023,0.9552206058846363,1.0043032495513387
2024-12-09,104,0.3964,0.6036,0.0,True,0.0,extreme_consensus(0%),0,-0.0093023255813953,0.0093023255813953,0.9641063789626328,0.9949608937415588
2024-12-10,106,0.4954,0.5046,0.0,True,,conf<0.6,0,-0.0187793427230046,0.0187793427230046,0.982211663074607,0.9762761821219991
2024-12-11,119,0.6022,0.6022,1.0,True,1.0,extreme_consensus(100%),1,0.0143540669856459,0.0143540669856459,0.9963103950804626,0.9902897158366689
2024-12-13,99,0.5738,0.5738,1.0,True,,conf<0.6,1,0.0187793427230046,-0.0187793427230046,0.9776003407127545,1.0088867058054325
2024-12-16,154,0.6229,0.6229,1.0,True,1.0,extreme_consensus(100%),0,-0.0092165898617511,-0.0092165898617511,0.9685901993236968,0.9995882108210506
2024-12-17,144,0.6085,0.6085,1.0,True,1.0,extreme_consensus(100%),1,0.0093023255813953,0.0093023255813953,0.9776003407127545,1.0088867058054325
2024-12-18,141,0.6014,0.6014,1.0,True,1.0,extreme_consensus(100%),0,-0.0138248847926267,-0.0138248847926267,0.9640851286291681,0.9949389633288598
2024-12-19,104,0.4153,0.5847,0.0,True,,conf<0.6,0,-0.0327102803738317,0.0327102803738317,0.9956206234908698,0.9623942308835233
2024-12-20,115,0.626,0.626,1.0,True,1.0,extreme_consensus(100%),1,0.0434782608695652,0.0434782608695652,1.038908476686125,1.0042374583132416
2024-12-30,95,0.595,0.595,1.0,True,,conf<0.6,0,-0.0137614678899082,0.0137614678899082,1.0532053823285945,0.9904176767768209
