date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-11-07,117,0.4628,0.5372,0.0171,True,0,extreme_consensus(2%),1,0.0234741784037558,-0.0234741784037558,0.9765258215962442,1.0234741784037558
2024-11-11,167,0.5926,0.5926,1.0,True,1,extreme_consensus(100%),0,-0.032258064516129,-0.032258064516129,0.9450249886415267,0.9904588823262153
2024-11-12,182,0.5206,0.5206,0.7857,False,1,,0,-0.0142857142857142,-0.0142857142857142,0.9315246316609336,0.9763094697215551
2024-11-15,153,0.5691,0.5691,1.0,True,1,extreme_consensus(100%),0,-0.0096618357487922,-0.0096618357487922,0.9225243936738715,0.966876527985115
2024-11-18,105,0.5298,0.5298,0.8381,True,1,extreme_consensus(84%),1,0.0146341463414634,0.0146341463414634,0.9360247506544648,0.9810259405897752
2024-11-19,118,0.5872,0.5872,1.0,True,1,extreme_consensus(100%),0,-0.0144230769230769,-0.0144230769230769,0.9225243936738716,0.966876527985115
2024-11-20,120,0.603,0.603,1.0,True,1,extreme_consensus(100%),0,-0.0146341463414634,-0.0146341463414634,0.9090240366932784,0.9527271153804548
2024-11-21,112,0.5871,0.5871,1.0,True,1,extreme_consensus(100%),1,0.0297029702970297,0.0297029702970297,0.9360247506544649,0.9810259405897753
2024-11-22,120,0.5993,0.5993,1.0,True,1,extreme_consensus(100%),0,-0.0096153846153846,-0.0096153846153846,0.9270245126674027,0.9715929988533352
2024-11-25,82,0.5916,0.5916,1.0,True,1,extreme_consensus(100%),0,-0.0194174757281553,-0.0194174757281553,0.9090240366932784,0.9527271153804548
2024-11-26,148,0.576,0.576,1.0,True,1,extreme_consensus(100%),0,-0.0099009900990099,-0.0099009900990099,0.9000237987062162,0.9432941736440147
2024-11-28,161,0.5454,0.5454,1.0,True,1,extreme_consensus(100%),0,-0.008955223880597,-0.008955223880597,0.8919638840909366,0.9348467631337698
2024-11-29,120,0.5151,0.5151,0.775,False,1,,1,0.0391566265060241,0.0391566265060241,0.926890180757148,0.9714522086781644
2024-12-02,116,0.5665,0.5665,1.0,True,1,extreme_consensus(100%),1,0.0193236714975845,0.0193236714975845,0.9448011021244358,0.990224232034264
2024-12-03,118,0.5745,0.5745,1.0,True,1,extreme_consensus(100%),1,0.0142180094786729,0.0142180094786729,0.9582342931499015,1.0043032495513387
2024-12-05,115,0.501,0.501,0.6,False,1,,0,-0.0093023255813953,-0.0093023255813953,0.9493204857717629,0.9949608937415588
2024-12-06,116,0.4935,0.5065,0.4483,False,0,,1,0.0093896713615023,-0.0093896713615023,0.9404066783936244,1.0043032495513387
2024-12-09,104,0.4976,0.5024,0.4135,False,0,,0,-0.0093023255813953,0.0093023255813953,0.9491546474949604,0.9949608937415588
2024-12-10,106,0.5591,0.5591,1.0,True,1,extreme_consensus(100%),0,-0.0187793427230046,-0.0187793427230046,0.9313301470725198,0.9762761821219991
2024-12-11,119,0.5992,0.5992,1.0,True,1,extreme_consensus(100%),1,0.0143540669856459,0.0143540669856459,0.9446985223893503,0.9902897158366689
2024-12-13,99,0.5676,0.5676,1.0,True,1,extreme_consensus(100%),1,0.0187793427230046,0.0187793427230046,0.9624393397112159,1.0088867058054325
2024-12-16,154,0.6024,0.6024,1.0,True,1,extreme_consensus(100%),0,-0.0092165898617511,-0.0092165898617511,0.9535689310502831,0.9995882108210506
2024-12-17,144,0.5915,0.5915,1.0,True,1,extreme_consensus(100%),1,0.0093023255813953,0.0093023255813953,0.9624393397112159,1.0088867058054325
2024-12-18,141,0.5986,0.5986,1.0,True,1,extreme_consensus(100%),0,-0.0138248847926267,-0.0138248847926267,0.9491337267198167,0.9949389633288598
