window_requested,window_used,n_total,n_trade,n_skip,win_rate,accuracy,macro_f1,total_ret,bnh_ret,tc_paid,max_dd,sharpe,model,threshold,signal_threshold
15,15,15,14,1,0.2857,0.2857,0.2222,-0.0903,-0.0003,0.028,-0.1294,-4.9226,XGB_text,0.55,0.5
30,30,30,29,1,0.4138,0.4138,0.3347,-0.1004,-0.0001,0.058,-0.1294,-2.764,XGB_text,0.55,0.5
45,45,45,40,5,0.425,0.425,0.3571,-0.0878,0.0048,0.08,-0.1294,-1.5008,XGB_text,0.55,0.5
60,54,54,49,5,0.4286,0.4286,0.4086,-0.1273,-0.0458,0.098,-0.1338,-1.918,XGB_text,0.55,0.5
15,15,15,14,1,0.2857,0.2857,0.2222,-0.0903,-0.0003,0.028,-0.1294,-4.9226,XGB_text,0.6,0.5
30,30,30,29,1,0.4138,0.4138,0.3347,-0.1004,-0.0001,0.058,-0.1294,-2.764,XGB_text,0.6,0.5
45,45,45,37,8,0.4324,0.4324,0.3657,-0.0781,0.0048,0.074,-0.1294,-1.3269,XGB_text,0.6,0.5
60,54,54,44,10,0.4318,0.4318,0.407,-0.1102,-0.0458,0.088,-0.1294,-1.6532,XGB_text,0.6,0.5
15,15,15,15,0,0.2667,0.2667,0.2105,-0.1444,-0.0003,0.03,-0.1652,-8.5025,XGB_tech,0.5,0.5
30,30,30,30,0,0.3667,0.3667,0.304,-0.1697,-0.0001,0.06,-0.1928,-4.9756,XGB_tech,0.5,0.5
45,45,45,45,0,0.3778,0.3778,0.3211,-0.2902,0.0048,0.09,-0.3039,-5.4741,XGB_tech,0.5,0.5
60,54,54,54,0,0.4259,0.4259,0.3906,-0.2609,-0.0458,0.108,-0.3039,-4.0312,XGB_tech,0.5,0.5
15,15,15,15,0,0.2667,0.2667,0.2105,-0.1444,-0.0003,0.03,-0.1652,-8.5025,XGB_tech,0.55,0.5
30,30,30,28,2,0.3214,0.3214,0.2762,-0.1857,-0.0001,0.056,-0.2026,-5.6386,XGB_tech,0.55,0.5
45,45,45,42,3,0.3571,0.3571,0.3098,-0.2684,0.0048,0.084,-0.2825,-5.288,XGB_tech,0.55,0.5
60,54,54,49,5,0.3878,0.3878,0.3414,-0.2558,-0.0458,0.098,-0.2825,-4.214,XGB_tech,0.55,0.5
15,15,15,15,0,0.2667,0.2667,0.2105,-0.1444,-0.0003,0.03,-0.1652,-8.5025,XGB_tech,0.6,0.5
30,30,30,27,3,0.3333,0.3333,0.2853,-0.1565,-0.0001,0.054,-0.1813,-4.8485,XGB_tech,0.6,0.5
45,45,45,40,5,0.35,0.35,0.3067,-0.2473,0.0048,0.08,-0.2567,-4.928,XGB_tech,0.6,0.5
60,54,54,47,7,0.383,0.383,0.34,-0.2344,-0.0458,0.094,-0.2567,-3.8949,XGB_tech,0.6,0.5
