date,signal,reason,trade_return,actual_return,direction,bullish_ratio,bearish_ratio,n_articles,actual_label,correct
2025-01-07,buy,,-0.0221,-0.0221,1.0,0.933,0.067,135.0,0.0,False
2025-01-08,skip,中性日或文章不足,0.0,-0.0045,,,,,,
2025-01-09,skip,中性日或文章不足,0.0,0.0,,,,,,
2025-01-10,buy,,-0.0227,-0.0227,1.0,0.756,0.244,127.0,0.0,False
2025-01-13,skip,中性日或文章不足,0.0,0.014,,,,,,
2025-01-14,sell,,0.0229,-0.0229,-1.0,0.088,0.912,125.0,0.0,True
2025-01-15,sell,,-0.0376,0.0376,-1.0,0.052,0.948,135.0,1.0,False
2025-01-16,skip,中性日或文章不足,0.0,0.0136,,,,,,
2025-01-17,skip,中性日或文章不足,0.0,0.0,,,,,,
2025-01-20,skip,中性日或文章不足,0.0,0.0,,,,,,
2025-01-21,skip,中性日或文章不足,0.0,0.0134,,,,,,
2025-01-22,sell,,0.0573,-0.0573,-1.0,0.02,0.98,151.0,0.0,True
2025-02-03,sell,,-0.0234,0.0234,-1.0,0.043,0.957,254.0,1.0,False
2025-02-04,skip,中性日或文章不足,0.0,0.0137,,,,,,
2025-02-05,skip,中性日或文章不足,0.0,0.0045,,,,,,
2025-02-06,skip,中性日或文章不足,0.0,0.009,,,,,,
2025-02-07,sell,,0.0178,-0.0178,-1.0,0.088,0.912,91.0,0.0,True
2025-02-10,skip,中性日或文章不足,0.0,0.0045,,,,,,
2025-02-11,skip,中性日或文章不足,0.0,-0.009,,,,,,
2025-02-12,skip,中性日或文章不足,0.0,-0.0091,,,,,,
2025-02-13,skip,,0.0,-0.0275,0.0,0.451,0.549,224.0,0.0,
2025-02-14,sell,,-0.0236,0.0236,-1.0,0.127,0.873,323.0,1.0,False
2025-02-17,skip,中性日或文章不足,0.0,0.0138,,,,,,
2025-02-18,skip,中性日或文章不足,0.0,-0.0091,,,,,,
2025-02-19,skip,中性日或文章不足,0.0,-0.0092,,,,,,
2025-02-20,skip,中性日或文章不足,0.0,0.0139,,,,,,
2025-02-21,sell,,0.0183,-0.0183,-1.0,0.25,0.75,120.0,0.0,True
2025-02-24,buy,,-0.0186,-0.0186,1.0,0.711,0.289,114.0,0.0,False
2025-02-25,skip,中性日或文章不足,0.0,0.0047,,,,,,
2025-02-26,skip,,0.0,-0.0189,0.0,0.602,0.398,118.0,0.0,
2025-02-27,skip,中性日或文章不足,0.0,,,,,,,
